id;total_debit_amount;destination_amount;destination_exchange_rate;destination_currency_indicator;discount_amount
1;USB;Chair;Computers Directives Tools;uniform;proactive innovative
2;red Credit Card Account Inverse;index;Investment Account bandwidth;Kyat HTTP;Savings Account Credit Card Account
3;Rubber Games Liaison;Credit Card Account;Electronics Causeway;programming;out-of-the-box Rustic Soft Bike Home Loan Account
4;haptic Avon;TCP;payment Bedfordshire Practical Plastic Hat;Rubber;invoice Legacy
5;complexity Soft;Incredible redundant leverage;mesh Metal District;Generic;cutting-edge
6;Uganda Avon;Iowa;Global time-frame Refined Granite Keyboard;sky blue Data;connecting hard drive
7;holistic;Borders deposit;leading-edge deliverables;revolutionize;task-force Games framework
8;Health;generate;migration Manager calculating;Wooden Rustic California;Inverse payment
9;Auto Loan Account Jewelery;Sleek Cotton Pants;Avon;overriding;online deposit
10;Liaison Rustic Kids;Branding;process improvement Tasty Frozen Hat;bandwidth-monitored mobile;Pizza Saudi Riyal indexing
