id;debit_amount;debit_currency;credit_amount;credit_currency;exchange_rate;fees;purpose_of_transfer;partner_reference_number
1;Georgia synergies;Jewelery Orchestrator redundant;generate web-enabled;innovate Soft Ergonomic;input schemas program;Radial;Investment Account;invoice
2;Algerian Dinar Fantastic Cotton Pants Table;Cheese e-services invoice;backing up alliance;synthesizing;EXE;Georgia Industrial;Greece Stand-alone didactic;Belize Dollar Dominica synergistic
3;Fantastic Lebanese Pound;Checking Account bluetooth utilize;Cotton Gold copying;Fresh collaboration;neural;Clothing;Dynamic;Adaptive Investment Account
4;Intelligent Granite Pizza New York;Awesome Granite Pizza;contingency West Virginia Metrics;Lek;structure;hybrid primary bandwidth;3rd generation ADP;mindshare Personal Loan Account
5;Awesome Soft Fish Outdoors Configuration;cross-platform payment Direct;Landing Coordinator payment;Tuna Direct;Associate;Refined Steel Gloves Generic Fresh Sausages integrate;Implementation;black gold Liaison
6;Concrete Walk;Mission hierarchy Multi-tiered;Handmade Fresh;SMS Berkshire withdrawal;invoice;Plaza Usability Anguilla;intangible turquoise;USB withdrawal
7;Fresh;Saint Kitts and Nevis capacitor bus;Quality uniform;SQL;mobile Beauty;Designer;drive Money Market Account solid state;Small Granite Table Track Senior
8;interface panel;Shirt;plug-and-play;Reactive;invoice Buckinghamshire;Gorgeous Plastic Table;CSS;methodologies synergies transform
9;global;Communications;Sierra Leone;Toys;synthesize Arkansas Auto Loan Account;teal Chicken indexing;utilize Money Market Account;Infrastructure Principal parsing
10;syndicate Pound Sterling Cambridgeshire;Checking Account Metal;Small Uganda Officer;Investment Account Moroccan Dirham Rubber;Granite Electronics adapter;Legacy Lakes;Colombian Peso Unidad de Valor Real hacking;Lead
