id;bank_code;bank_name;bank_country;bank_branch_code;branch_name_and_address
1;New York;Auto Loan Account;Greenland invoice;ability;Palestinian Territory Armenia
2;purple content-based;Zimbabwe function matrix;Representative coherent;incremental copy transmitting;Beauty Practical Plastic Table deposit
3;forecast;Forward Developer Cambridgeshire;synthesizing;Web;Rhode Island evolve RAM
4;Square;Electronics;multi-byte Danish Krone;capacitor Texas Money Market Account;El Salvador Colon US Dollar
5;executive infrastructure Regional;Generic Metal Keyboard capability;withdrawal Beauty;Practical invoice;COM Granite Intranet
6;Steel New Leu Cambridgeshire;Australian Dollar 24/7 Small Granite Car;invoice;Chief virtual;RAM internet solution payment
7;California knowledge base;mint green National;initiative;backing up;distributed technologies
8;Concrete;application;HTTP;New Leu;Analyst transmitter Sri Lanka
9;Grocery cross-platform;matrix generate;override;open-source;Chips
10;sky blue Branding;Exclusive success;Orchestrator;Manager;silver
